Titulo,Autor,Genero,Descripcion
Hija de La Frontera,['Asier Moreno Vizuete'],"['Fantástico', 'Novela']","El Barón Albredo IV Cadágara ha muerto y la guerra civil sacude la Baronía de Arborias. La Frontera lo engulle todo a su paso y los chatarreros aprovechan la ocasión para zambullirse en El Pedo de Dios en busca de los tan preciados tesoros de Antes de Aquello. Para conseguirlo necesitarán la ayuda de los Rompebotas, conocedores de los peligros del desierto.Mantente viva, mantente al margen.Esa es una de las frases de su padre, el mejor Rompebotas que el polvo haya engendrado jamás. Ilda ha puesto toda una Baronía de por medio para huir de un pasado que la atormenta, pero, al regresar de una de sus expediciones en La Frontera, descubre que sus fantasmas la están esperando. En su camino de vuelta al hogar, la Rompebotas no solo tendrá que enfrentarse a los peligros del desierto y de la guerra, a daimonios y aldeas carbonizadas, sino a todas esas historias que su padre le contaba y que resultaron convertirse en la más grande de todas las mentiras. Un viaje entre dos mundos y dos tiempos que obligará a Ilda a volver a ser la niña que era para ponerse delante de un espejo, y lo que allí se encuentre, quizá no le sea del todo desconocido.Un grimdark oscuro y sangriento al estilo de Joe Abercrombie o George R.R. Martin. Una historia que nos sumerge en un mundo postapocalíptico a la par que mágico, donde los rifles se disparan junto a hechizos imposibles y en las ciudades enterradas por el polvo no solo duerme nuestro mundo sino también demonios que susurran en la oscuridad. Literatura de género que se abre a nuevos horizontes para navegar en mares en los que la fantasía o la ciencia ficción se convierten en un escenario donde dar cabida a los dolores y conflictos más profundos del alma humana."
Algo tan estúpido como un te quiero,['María Sotelo'],"['Novela', 'Romántico']","Os daré un consejo: Nunca os fieis de una mujer cuando os diga que necesita quedarse en vuestra casa «solo un par de semanas». Mucho menos si esa mujer es vuestra dulce y adorable hermana pequeña. Creedme, es una trampa. Os lo digo por experiencia.Desde ese momento vuestra vida será un infierno, y lo peor del asunto es que, lejos de adaptaros a la situación, un día os levantaréis con la firme convicción de que necesitáis libraros de ella, recuperar vuestra vida, vuestro desorden, vuestro caos y tomaréis una mala decisión.Esto también os lo digo por experiencia."
La mecanógrafa de Hitler,['Tessa Harris'],"['Histórico', 'Intriga', 'Novela']","Enero, 1939. Katja Heinz acaba de comenzar a trabajar como asistente del doctor Viktor y su principal tarea consiste en mecanografiar las notas médicas resultantes de sus sesiones.Tras la Gran Guerra, el doctor trató a numerosos soldados que sufrían trastornos psicológicos: Adolf Hitler fue uno de ellos. Las notas del cuaderno original declaran que Hitler no era apto para liderar ni gobernar. Un secreto que, de salir a la luz, podría destruir la reputación del Führer y cambiar el curso de la guerra.Con el cuaderno escondido en una sombrerera, Katja y el doctor Viktor viajan a París, donde esperan dar con un editor lo suficientemente valiente como para atreverse a publicar el controvertido manuscrito. Pero Katja está siendo vigilada. Y quienes han descubierto su plan no se detendrán hasta lograr destruir el cuaderno y silenciar a todos aquellos que conozcan su secreto.Una cautivadora historia sobre la Segunda Guerra Mundial."
El fin del mundo es solo el comienzo,['Peter Zeihan'],"['Ensayo', 'Política', 'Sociología']","Cartografía del colapso de la globalización  Durante generaciones, todo se ha vuelto más rápido, mejor y más barato. Hemos llegado al punto en el que, desde que decides que la deseas, casi cualquier cosa que desees puede ser enviada a tu casa en cuestión de días, e incluso horas. Un pequeño grupo de países hizo que esto fuera posible; pero ahora han perdido interés en mantenerlo en funcionamiento. Todo esto fue artificial. Todo esto fue temporal. Todo esto ha llegado a su fin.En su libro El fin del mundo es solo el comienzo, el autor y estratega geopolítico Peter Zeihan traza el mapa del próximo mundo: un mundo en el que los países o regiones no tendrán más opción que fabricar sus propios bienes, cultivar sus propios alimentos, asegurar su propia energía, librar sus propias batallas y además hacerlo con poblaciones que están menguando y envejeciendo. La lista de países que hacen que todo funcione es más pequeña de lo que creemos. Esto significa que todo lo relacionado con nuestro mundo interconectado, desde cómo fabricamos los productos hasta cómo cultivamos los alimentos, pasando por cómo mantenemos la luz encendida, cómo transportamos las cosas y cómo pagamos por todo ello, está a punto de cambiar.Siguiendo su estilo habitual, en lugar de gritar «¡fuego!» en el teatro geoeconómico mundial, Zeihan señala la acumulación de fósforos, gasolina y dinamita en las manos de una audiencia ignorante, sugiriendo que tal vez queramos avisar a los bomberos antes de que sea demasiado tarde. Un fin del mundo y, a la vez, un mundo que comienza. Zeihan lleva a los lectores en un viaje esclarecedor (y un poco aterrador), lleno de previsión, ingenio y con su irreverencia característica.«Nunca he sido tan optimista sobre el fin del mundo. Profundamente investigado, poderosamente argumentado y bien escrito. Zeihan hilvana conocimientos de geografía económica, demografía e historia para ofrecernos una visión original y a la vez intuitiva de la geopolítica mundial». Ian Bremmer, presidente del Grupo Eurasia. «Peter Zeihan proyecta un futuro que desafiará sus premisas sobre cómo funciona el mundo, qué naciones están mejor posicionadas para prosperar y cuáles son más frágiles. El mundo que imagina está plagado de peligros, pero no exento de oportunidades. Una lectura que vale la pena para dar cuerpo a su visión del mundo». General de División Patrick Donahoe, Comandante General, Centro de Excelencia de Maniobras del Ejército de EE.UU. «Zeihan es el Nostradamus del siglo xxi. En ningún lugar encontrará un examen más objetivo y certero de las tendencias geopolíticas mundiales. Una mezcla magistral de economía, demografía, medioambiente, movimientos culturales y realpolitik. Si su pasión es la política, la inversión, la energía, la tecnología, las relaciones internacionales o simplemente parecer más inteligente e interesante en las fiestas, lea el libro de Peter». Jesse Watters, autor del superventas How I Saved the World."
Autorretrato de familia con perro,['Álvaro Uribe'],"['Novela', 'Realista']","Por el hecho azaroso de nacer unos minutos antes que Adán, siete minutos para ser exactos, su gemelo, Alberto Urquidi Jr., fue siempre considerado el mayor de los dos. Y no sólo eso, sino el hermano más inteligente, sensato, desenvuelto, maduro y tenaz. Para decirlo sin rodeos: todo lo que Malú, su madre, siempre quiso ser y reflejó en una descarada predilección por el primogénito. Pero no nos dejemos engañar: ¿no es este tan sólo el punto de vista de un desdichado hermano menor? Para conocer a Malú, con todo y su personalidad caprichosa y exuberante, y descubrir la causa de esta persistente injusticia familiar, habrá que leer también la versión de quienes la conocieron de cerca: su amiga más íntima, su sirvienta, su contador, su cirujano plástico, su nuera, sus vecinos y, no menos importante, Canuto, el perro y rey de la casa. Un tumultuoso y placentero meandro de testimonios acompasado por la eterna pregunta: ¿qué hermano, después de toda una vida de pleitos, podría considerarse más cercano a su madre y, por ende, más feliz? Dejemos que el lector sea quien juzgue, sin dejarse influenciar por la indiscreta opinión de todos sus personajes, qué es verdad y qué es mentira en esta historia magistralmente estructurada y narrada de esta familia."
Lo que los ricos saben y nunca explican a nadie,['Brian Sher'],"['Autoayuda', 'Ciencias sociales', 'Divulgación']","Mejore en la Vida y en los Negocios.La mayoría de las personas sueñan con hacerse ricas, se imaginan lo que harían con su fortuna y luego retornan rápidamente a la realidad. En Lo que los ricos saben y nunca explican a nadie, su autor Brian Sher comparte los mejores entre los más importantes secretos e ideas de los adinerados, formulas probadas de éxito que ha obtenido de sus experiencias como empresario de éxito y consultor de empresas. Yendo directamente al grano, de un modo sucinto e incisivo, Sher identifica los principios básicos y enérgicas del triunfo y le conduce en un viaje hacia la fortuna personal y financiera."
"Química, la ciencia impura","['Bernadette Bensaude-Vincent', 'Jonathan Simon']","['Divulgación', 'Ensayo', 'Filosofía', 'Historia', 'Química']","Son pocas las obras que se han dedicado a profundizar sobre la historia y la filosofía de la química, una disciplina que estudia fenómenos que, miremos por donde miremos, encontramos en la mayor parte de las cosas que nos rodean.Química, la ciencia impura es una introducción a la filosofía de la química que hilvana la historia de esta disciplina, remontándose a épocas medievales con el surgimiento de la alquimia, con el trabajo de químicos famosos como Lavoisier, Mendeléyev y Boyle, y con un análisis de la imagen que la química ha tenido a lo largo del tiempo, las repercusiones de su desarrollo en la vida social, económica y ecológica del mundo.Bensaude y Simon discuten temas centrales en torno a esta ciencia que no pueden soslayarse, como que la química ahora sea vista como la ciencia responsable de la contaminación ambiental, la debatida relación entre la física y la química, el positivismo y el realismo de la química y perspectivas a futuro de esta ciencia."
Por qué este mundo,['Benjamin Moser'],"['Biografía', 'Crónica']","En esta biografía, que es ya un libro de referencia en todo el mundo, Benjamin Moser desentraña los mitos que rodean a una de las más extraordinarias figuras de la literatura contemporánea y nos muestra cómo Clarice Lispector transformó su lucha personal como mujer en una obra de resonancia universal."
Matadero cinco (trad. Temprano García),['Kurt Vonnegut'],"['Bélico', 'Ciencia ficción', 'Novela', 'Otros']","Kurt Vonnegut quería escribir una novela sobre la guerra. Pero tenía dos problemas. El primero, que le hacía volver a lo que él había sufrido: sobrevivió al bombardeo de Dresde, el más cruento de la Segunda Guerra Mundial, y fue hecho prisionero de guerra. El segundo, que le daba pavor que llevasen la historia al cine (como le advirtió que pasaría una buena amiga suya) y la interpretase una gran estrella, un actor muy machote, y los niños quisiesen ir también a la guerra y las guerras no se acabaran nunca.Pero escribió esa novela, y se prometió que sería distinta a todas las demás. Que hablaría de «la cruzada de los niños». Y que en ella habría miedo y risa y viajes en el tiempo y ternura y estupor y sorpresa y fragilidad.Y esa novela se convirtió en la gran novela antibélica de todos los tiempos. En el emblema de la contracultura de los sesenta. En uno de los mayores clásicos de la narrativa estadounidense. En este libro que ahora sostiene el lector, en el que late el corazón asustado y risueño de Vonnegut dentro de un búnker bombardeado y también la promesa infantil (y bonita) de que no habrá más guerras."
Fenómenos & Introducción a los fenómenos,"['Arato de Solos', 'Gémino']","['Ciencias naturales', 'Ensayo']","Arato (Solos, Cilicia, c. 315-c. 240 a. C.) trabajó en la corte macedónica de Antígono II Gónatas, y tal vez estuvo en la corte de Antíoco I en Siria. Escribió varias composiciones, como himnos, epigramas y elegías, pero lo más característico de su producción son los temas científicos. La más célebre de sus obras, y única conservada, los Fenómenos, se ocupa de astronomía y meteorología, y pertenece a la tradición de poesía didáctica que parte de Hesíodo. Tratado claro y de estilo elegante, refleja la formación estoica de Arato, aunque no de modo dogmático. Ofrece gran cantidad de información científica sobre constelaciones, clima y estaciones, pero lo que mantuvo su interés y vigencia son el aliento y convicción que transmiten sus estrofas helenísticas y arcaizantes.Fenómenos tuvo enorme éxito, prestigio e influencia entre alejandrinos y romanos. Influyó de modo manifiesto en De rerum natura de Lucrecio y en Virgilio, y conservamos un gran corpus de comentarios e interpretaciones en griego y en latín. Entre sus varias traducciones al latín figuran las de autores famosos —Cicerón, Germánico, Avieno—; su ascendencia se mantuvo en la Edad Media y en el Renacimiento.El presente volumen se completa con un texto de Gémino de Rodas, astrónomo y matemático del siglo I a. C., Introducción a los fenómenos, conocida también como El Isagogo. Se trata de un manual de astronomía para estudiantes que describe aspectos como el zodíaco, el movimiento del sol, las constelaciones, la esfera celeste, la sucesión día-noche, las fases de la Luna y los eclipses. La importancia de Gémino se echa de ver en que se bautizara con su nombre un cráter de la Luna."
La gestión del dolor,['Bharati Mukherjee'],"['Realista', 'Relato']","En 1987 Bharati Mukherjee publicó, con Clark Blaise, The Sorrow and the Terror: The Haunting Legacy of the Air India Tragedy, sobre la tragedia del vuelo Air India 182, ocurrida el 23 de junio de 1985, episodio que también inspiró el relato aquí traducido."
Palabras malditas,['Miguel Conde-Lobato'],"['Intriga', 'Novela']","Un pueblo costero de Galicia.Un asesino violento y sin escrúpulos.¿Puede el miedo marcarte para siempre?Estela siempre ha sido una localidad próspera y tranquila, tan llena de prejuicios como de viento y niebla. Sus habitantes, acostumbrados a vivir de espaldas a los problemas del mundo, nunca pensaron que llegaría una tragedia que oscurecería aquel lugar más que su habitual clima.La sombra cae sobre Estela el día que hallan la cabeza de una joven con un extraño tatuaje en la frente. Cuando aparecen nuevas víctimas, la pequeña ciudad se estremece ante la idea de que uno de sus vecinos quizá sea un asesino en serie.Edén lleva un tiempo suspendida de su puesto como policía judicial de la Guardia Civil cuando recibe una llamada. Ahora la necesitan, y rápido. En una sociedad obsesionada con la belleza y la imagen, solo ella es capaz de observar muy de cerca a las personas y descubrir la verdad de los demás, su bondad esencial o la profundidad de su maldad, aunque para ello tenga que mirar al peligroso y aterrador abismo de lo humano.Con su inconfundible marca de ritmo frenético y originalidad, Miguel Conde-Lobato ambienta esta novela en su Galicia natal y dota el pueblo imaginario de Estela de los encantos de la región y de las pesadillas de aquellos lugares pequeños donde todos confían −quizá demasiado− en los demás. Hasta que dejan de hacerlo."
La palabra de una dama,['Catherine Brook'],"['Histórico', 'Novela', 'Romántico']","Amanda Rednoy sabe que es demasiado valiosa para casarse con cualquiera, y no le importa quedarse soltera si ese es el costo de mantener su dignidad; por eso, cuando su hermana menor le ruega que evite el compromiso que su padre le ha impuesto, no se le pasa por la cabeza ofrecerse como reemplazo, al menos, hasta que ese insoportable hombre se lo propone. Divida entre ayudar a su hermana o tolerar su llanto durante todos los días que durara el compromiso, Amanda le hace una promesa al caballero: si las circunstancias que lo obligan a casarse no cambian, ella le buscará esposa, y, de no conseguirla, ella podría tomar acceder a su propuesta. No se imagina hasta qué punto tendrá que cumplir su palabra.Leonel Rhodes, conde de Scarbrough, es consciente de que ha llegado el momento de casarse. Cerca de los cuarenta, y con una madre que pierde poco a poco la memoria, Leonel quiere la estabilidad de un matrimonio a la vez que hace feliz a su progenitora. Con una reputación arruinada por un rumor malintencionado, no se le ocurre mejor manera de conseguir una esposa que un compromiso arreglado. No se imaginaba que la elegida resultaría ser una niña caprichosa y que la hermana mayor de esta era testaruda y persistente, hasta el punto de generarle una clase de atracción que no había sentido en muchos años.¿Podrán llegar a un acuerdo cuando ninguno de los dos parece querer ceder terreno?"
Nada que decir,['Silvia Hidalgo'],"['Drama', 'Novela', 'Psicológico']","Una mujer aguarda en el interior de un coche a que su exmarido recoja a la hija de ambos, que llora en el asiento de atrás. Mientras cae la lluvia y las figuras se desdibujan iluminadas por los intermitentes, ella está pendiente de su móvil y de una cita con un desconocido. Como un animal desorientado y furioso, se deja llevar por su deseo crudo, sin tapujos, en el que la maternidad, la familia, el trabajo ocupan un lugar secundario. Quiere huir de los espejismos de una falsa felicidad, pero se sitúa ante el abismo de una relación enfermiza, desquiciada, con un directivo de la empresa de su exmarido, un «hombre tumor». Nada que decir confirma a Silvia Hidalgo como nuestra Marguerite Duras: escenas turbadoras, emociones inconfesables y una escritura tersa y brillante, que deja zarpazos.Nada que decir es el deslumbrante retrato psicológico de una mujer enfrentada a sus contradicciones y a la vorágine de la vida moderna, una historia veraz y lacerante sobre la vivencia del deseo y la pasión, sobre cómo se sobrepone a la crisis de los cuarenta, la ansiedad por el éxito social, el desencanto del hogar, la atracción por lo prohibido."
Una perdición de ruina y furia,['Jennifer L. Armentrout'],"['Fantástico', 'Novela']","Ella vive gracias a su intuición. Él se alimenta de su placer.Hace mucho tiempo, los dioses destruyeron el mundo, y solo nueve ciudades se salvaron. Separadas por vastas tierras salvajes, repletas de monstruos y peligros inimaginables, cada ciudad ahora está gobernada por un guardián: la realeza que se alimenta del placer de los mortales.Nacida con una intuición que nunca le ha fallado, Calista sabe que sus talentos son muy valiosos para aquellos sedientos de poder, por lo que vive escondida como cortesana del barón de Archwood. A cambio de su protección, ella le otorga información.Cuando su intuición la lleva a salvar a un príncipe viajero que se encuentra en serios problemas, su voz interior resplandece con una advertencia. y una promesa. Por ahora, el hombre le traerá alegría. Pero un día, será su perdición.Cuando el barón se interesa por el príncipe viajero y el príncipe se interesa por Calista, ella se convierte en la compañera temporal del príncipe. Pero en la ciudad se está gestando una rebelión, y con caballeros y monstruos en todas las puertas de la ciudad y un príncipe deseoso en su cama, puede que la intuición no sea suficiente para mantenerla a salvo.Calista deberá tomar una decisión: seguir su intuición hacia la seguridad o seguir su corazón hacia la perdición."
Morderás el polvo,['Roberto Osa'],"['Drama', 'Novela']","Águeda ronda la treintena, está embarazada de ocho meses y vive sola en un piso amueblado con cajas de cartón. En su cara hace años que falta el ojo izquierdo. Tiene un novio casi perfecto y un padre al que no ve hace muchos años. Su vida es bastante monótona: trabaja de noche, duerme poco, habla menos y contiene su rabia como puede. Pero la rutina va a estallar por una llamada telefónica. La mujer decide, y así lo proclama desde la primera frase de la novela, que va a matar a su padre. No esperará a dar a luz ni piensa pedir ayuda, lo va a hacer sola y lo va a hacer ya. La historia transcurre en poco más de un día. Un viaje desesperado de Madrid a La Mancha, de una ciudad con las calles cubiertas por toneladas de basura al paisaje árido y descarnado de la meseta, en busca de un pasado lleno de violencia que culminará con el reencuentro a cara o cruz entre padre e hija. Una geografía absolutamente hostil –casas deshabitadas, lagunas vacías, prostíbulos en horas bajas, cementerios en obras y piedras, muchas piedras– es el escenario de un poderoso relato con tintes de drama rural en el que se citan el tremendismo, cierta estética de western y el fondo intemporal de la tragedia clásica."
Olegaroy,['David Toscana'],"['Humor', 'Novela']","Hay hombres de apariencia pequeña que se vuelven grandes ante la arbitrariedad de la historia. Olegaroy es uno de ellos. Tras el salvaje asesinato de una joven, él decidirá tomar la investigación por su cuenta y en el proceso habrá de toparse con las dudas que más inquietan al ser humano desde que comenzó a reflexionar en la antigua Grecia. Por eso la humanidad tiene una deuda inmensurable con este preclaro pensador mexicano cuya vida, obra e ideas habrían quedado en el olvido de no ser por esta narración que, según los propios criterios olegarianos, es absolutamente verdadera.En este libro, David Toscana muestra que el sabio es un animal nocturno, pues cualquier verdad que desee revelar el cosmos, lo hará durante la noche, cuando la masa de mediocres está roncando."
El Gran Día de la Venganza,['Katja Brandis'],"['Fantástico', 'Juvenil', 'Novela']","El verano está a punto de empezar en las Montañas Rocosas y con él vendrá la evaluación final para Carag. Pero al chico puma le cuesta mucho estudiar: se acerca el Gran Día de la Venganza y él y sus amigos tratan de proteger a los humanos de Andrew Milling y sus aliados. Además, el Colegio Clearwater y su familia humana también corren peligro. ¿Lograrán detener a su peligroso rival?"
Tu nombre al trasluz,['Ana Iturgaiz'],"['Histórico', 'Novela', 'Romántico']","Valle de Mena, Burgos, 1534. Elena de Eguía, hija y viuda de impresores, ha abandonado Alcalá de Henares para refugiarse en la ciudad natal de su marido.Elena llega a Villasana de Mena dispuesta a dejar atrás los problemas con la Inquisición que condujeron a su esposo a un desgraciado final. Enfrentada a la necesidad de mantenerse y criar a su hijo, decide dedicarse en secreto a lo que mejor sabe hacer: al oficio de imprimir.Lo que no se esperaba era encontrarse con Miguel Villanueva, el mejor amigo de su marido e impresor como este, quien también ha decidido empezar de nuevo. Apremiada por la insistencia de Miguel y la necesidad de disimulo, permite que su hijo comience a trabajar con él como aprendiz, a pesar de que su propia razón le grita lo contrario…"
Disertaciones filosóficas I-XVII,['Máximo de Tiro'],"['Ensayo', 'Filosofía']","Máximo de Tiro, platónico del siglo II d.C., incidió en la vertiente metafísica más que en la matemática del maestro. El filósofo neoplatónico griego Máximo de Tiro pronunció conferencias en Roma durante el reinado de Cómodo, en la segunda mitad del siglo II d.C. Era un destacado orador, aunque no se le incluía en la sofística. De él conservamos cuarenta y un discursos, de estilo agradable y sencillo, que aspira a la comunicación fluida y al tratamiento claro de cuestiones filosóficas. Más expositor y divulgador que pensador original, recoge temas de la tradición platónica y trata de iluminarlos desde nuevas perspectivas, con abundante uso de la poesía, de imágenes de la vida diaria y de ejemplos de la historia clásica. En la periodización de las corrientes filosóficas, se suele incluir a Máximo en el platonismo medio, como a Plutarco, Apuleyo, Ático y Celso. Subraya el dualismo al poner el énfasis en la trascendencia divina y limitar el mal a la materia, si bien incluye, para paliar el abismo entre los dos ámbitos, dioses inferiores o demonios."
A la Esperanza,['John Keats'],"['Otros', 'Poesía']","«To Hope» apareció en Poems, el primer libro de John Keats, publicado en marzo de 1817, pero la composición data de febrero de 1815, cuando el autor contaba con veinte años."
El secreto del pirata del mar,['Marilyn Ezzell'],"['Intriga', 'Juvenil', 'Novela']","Durante sus vacaciones en el remoto acantilado de Beggarbay, Susan Sand recibe la visita del fantasma de un pirata, que intenta conducirla hasta una puerta falsa para que caiga al agua y encuentre la muerte contra las traicioneras rocas.Susan Sand no tarda en descubrir que un misterio gira alrededor del imponente Faro de Beggarbay, cuya luz guía los barcos, pero cuyas paredes de piedra ocultan un tesoro de un millón de dólares. ¿Podrá Susan resolver el misterio a tiempo?"
Aventuras de valor y heroísmo,['Anónimo'],"['Aventuras', 'Drama', 'Infantil', 'Juvenil', 'Relato']",Cinco historias que cuentan distintos actos heroicos.
La constante picassiana,['Jordi Sierra i Fabra'],"['Intriga', 'Novela', 'Policíaco']","Londres. Magda Ventura entrevista en la prisión de Wormwood Scrubs a Lucien Girardot, el último Hombre Araña, el más famoso ladrón de obras de arte, acusado de robar siete pequeños cuadros de Picasso. Lo que parece un simple reportaje sobre el tráfico de arte robado acaba convirtiéndose en un complot que involucra a una galería de Barcelona. La suma de un asesinato hace que todo estalle y Magda se vea, una vez más, en el ojo del huracán. En medio de este reportaje envenenado, uno de los hombres más ricos de España le pide que investigue el presunto suicidio de su hijo adolescente a cambio de una entrevista en exclusiva. Perdida entre ambos frentes de acción, Magda descubrirá que la verdad siempre tiene dos caras. Y que ninguna es buena.Una novela de acción, trepidante, con un doble misterio y el trasfondo de una de las tramas delictivas más importantes y rentables del mundo: el tráfico de arte robado."
Amenaza insondable,['Pedro Urvi'],"['Fantástico', 'Juvenil', 'Novela']","Una amenaza insondable se cierne sobre Norghana y todo Tremia. Las Panteras tendrán que enfrentarse a ella y destruirla. El Dragón Inmortal tienen un plan secreto y está próximo a conseguir ejecutarlo. Las Panteras deben detenerlo mientras las dificultades en Norghana para los guardabosques aumentan. En el exterior, las relaciones políticas con otros reinos se complican."
Roma Caput Mundi,['Andrea Frediani'],"['Histórico', 'Novela']","Los bárbaros, cada vez más cerca de las fronteras, se han convertido en un peligro, pero también son los nuevos reclutas que engrosan las filas del ejército imperial. El cristianismo está venciendo todos los obstáculos, incluso las persecuciones más sangrientas. Cuando Diocleciano deja el trono, se desatan feroces luchas por la sucesión. Entre los aspirantes, se encuentra Constantino, que pretende por todos los medios obtener el poder. Su irresistible ascenso se cruza con la historia de una mujer frágil e ingenua, fuertemente apasionada, Minervina, y con la de Sexto Martiniano, un pretoriano decidido a defender los valores de una sociedad y una tradición que se están desmoronando. Entre ambos nacerá una historia de amor intensa, épica y atormentada como la época en la que viven: el tránsito de la Roma antigua a la medieval, entre las deidades tradicionales y el Dios de los cristianos."
Tormenta de alas,['M. John Harrison'],"['Ciencia ficción', 'Novela']","Han pasado ochenta años desde la Guerra de las Dos Reinas. Muerto tegeus-Cromis, exiliado Sepulcro el Enano de Hierro, solo queda Alstath Fulthor, el Hombre Renacido de las Culturas del Atardecer, para aconsejar a la reina Jane. Un extraño culto nihilista, el Signo de la Langosta, hace estragos en las callejas y plazuelas de la Ciudad Pastel: sus miembros, vestidos con máscaras de insectos, recorren la noche en siniestras procesiones portando cuchillos. Cuando una Renacida perturbada llega al Bistro Californium con un petate que contiene la cabeza cortada de un auténtico insecto gigante, el asesino profesional Galen Hornwrack se ve involuntariamente envuelto en una aventura por salvar Viriconium de una alucinante invasión."
Todos sus placeres,['Gaelen Foley'],"['Erótico', 'Histórico', 'Novela', 'Romántico']","Tras el disfraz de una cíngara puede ocultarse una auténtica princesa.Lord Gabriel Knight se ha recuperado de las heridas que casi le costaron la vida en la India, pero todavía no ha conseguido sanar las que atormentan su alma. Ha renunciado a sus riquezas, a los honores militares, a los placeres mundanos y se ha refugiado en una aislada granja de la campiña inglesa donde espera recobrar la paz, dar un nuevo sentido a su vida y olvidar su pasado como oficial de caballería.Por eso se enfurece cuando descubre a una joven cíngara llamada Sofía dormida en el granero. ¿Acaso la ha enviado su hermano para hacerle olvidar su soledad? Ciertamente es una joven muy atractiva, pero no está dispuesto a romper sus votos tan fácilmente… ¿Podrá la exótica Sofía fundir el corazón del hombre al que todos llamaban «el comandante de hierro»?"
Un amor para Navidad,['E. R. Dark'],"['Erótico', 'Fantástico', 'Novela', 'Romántico']","Norene ha regresado al siglo XXI convencida de que su aventura con los vampiros ha acabado.Comienza a rehacer su vida: nuevas amigas, nuevo amor… Pero los enemigos del pasado andan cerca, recordándole el por qué no debe intentar nunca regresar o ponerse en contacto con ellos.Por su parte, Irial ha acabado por darse cuenta de que las O’Brian no son brujas y de que está locamente enamorado de la pelirroja a la que dejó escapar.El libro está en sus manos, así que viajará junto a Dagen y Kara al futuro para recuperar el amor del pasado.Pero cuando llega, Norene no lo recibe con los brazos abiertos.¿Será capaz de conseguir su perdón y volver junto a su amor por Navidad?"
La mirada encendida,['Bernardo Esquinca'],"['Drama', 'Relato']","Estas piezas no saben qué son, pero sí a donde van. Son estocadas del corazón al corazón. Del corazón rector al corazón sin adjetivos. Armadas con pasional escuadra y compás controlado, cada una de las prosas de este libro es un ejercicio mayor de la mirada. De ahí el título: enamorados de la realidad, los ojos encuentran y fija y transforman el carácter efímero del instante.Ya cuente una historia, evoque una sensación adolescente o reelabore mitos en eterna transformación, Bernardo Esquinca camina por la cuerda del equilibrista, siempre seguro de la relatividad de los géneros literarios, pero siempre con la seguridad, el aplomo y la sabiduría de llegar al otro lado."
Una corona para tu entierro,['James Hadley Chase'],"['Novela', 'Policíaco']","Nick Mason acude a la cárcel con un grupo de periodistas para presenciar una ejecución. A él le toca escuchar las últimas palabras que el condenado pronuncia: «Se equivocaron de hombre —dijo con voz no del todo segura—. Yo no lo hice». Y a continuación le susurra el nombre del asesino. A partir de ese momento, nada conseguirá apartarle del caso."
Sobre las formas de estilo,['Hermógenes'],"['Crítica y teoría literaria', 'Ensayo']","El retórico griego Hermógenes de Tarso, de la segunda mitad del siglo II y principios del III d. C., fue la máxima autoridad de su tiempo en la materia. Su obra principal es Sobre las formas del estilo, que analiza con tino y precisión las cualidades de varios autores, hasta determinar en qué consiste exactamente su estilo. A los tres tipos de oratoria canónicos (deliberativo, judicial y panegírico) añade en este tratado el político, combinación de los anteriores. Los cuatro se distinguen entre sí por sus diferentes grados de una serie de cualidades: claridad, carácter, sinceridad, riqueza de pensamiento, vehemencia, solemnidad, brillantez, fuerza, belleza. Gran conocedor de los discursos de Demóstenes y de los varios análisis retóricos de éstos, creía que todo el estudio de la retórica debía basarse en el gran orador ático. Fue asimismo autor de unos Ejercicios preparatorios para la retórica (que ocupan otro volumen de esta colección, junto a los ejercicios de los rétores Teón y Aftonio)."
Un caso de conciencia (trad. Gardini),['James Blish'],"['Ciencia ficción', 'Novela']","El padre Ramón Ruiz-Sánchez, de la Compañía de Jesús, forma parte de la comisión de evaluación del planeta Litia, un mundo selvático que es el último candidato a entrar en la federación liderada por la Tierra. Litia tiene una biología peculiar (la especialidad de Ruiz-Sánchez) y prometedoras propiedades minerales, pero sobre todo es el hogar de una raza de saurios inteligentes que han creado una sociedad perfecta. Ruiz-Sánchez tendrá que decidir si esa sociedad es una promesa del futuro de la humanidad… o la mayor tentación para el hombre desde la expulsión del Paraíso.El año es 2050. La carrera nuclear ha dejado la Tierra convertida en un mosaico de ciudades-estado subterráneas, los refugios, y sólo lentamente la humanidad ha empezado a recuperar el uso de la superficie. El retorno de Ruiz-Sánchez de Litia portando un espectacular regalo de los litianos tendrá profundas consecuencias para la sociedad terrestre, ávida de diversión y sentido, y obligará al sacerdote a desempolvar un viejo rito católico con consecuencias cósmicas."
